table,field,ddl_declaration,ddl_not_null,source_path,source_line,manifest_planes,build_disposition,capability,recommended_timing,recommended_owner,recommendation
document.attachment,uploaded_by,uuid,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,metadata,jsonb NOT NULL DEFAULT '{}'::jsonb,True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Owning service / governed extension contract,Only allowed keys; do not hide missing domain models or readiness policy in arbitrary JSON.
document.attachment,status,document.attachment_status_d NOT NULL DEFAULT 'active',True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment,status_changed_at,timestamptz,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment,status_changed_by,uuid,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment,created_at,timestamptz NOT NULL DEFAULT now(),True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment,created_by,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment,updated_at,timestamptz,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment,updated_by,uuid,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment,extracted_text,text,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,extracted_text_chars,integer,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,text_extracted_at,timestamptz,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,text_extraction_status,text,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,text_extraction_error,text,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,pii_detected,boolean NOT NULL DEFAULT false,True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,pii_types,jsonb NOT NULL DEFAULT '[]'::jsonb,True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,pii_scanned_at,timestamptz,False,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment,series_id,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_folder,id,uuid NOT NULL DEFAULT shared.uuidv7(),True,server/db/ddl/common/document/03_foundation_tables.sql,103,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_folder,tenant_id,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,103,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_folder,entity_type,text NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,103,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_folder,entity_id,text NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,103,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_folder,name,text NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,103,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_folder,parent_id,uuid,False,server/db/ddl/common/document/03_foundation_tables.sql,103,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_folder,display_order,integer NOT NULL DEFAULT 0,True,server/db/ddl/common/document/03_foundation_tables.sql,103,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_folder,created_at,timestamptz NOT NULL DEFAULT now(),True,server/db/ddl/common/document/03_foundation_tables.sql,103,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_folder,created_by,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,103,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_folder,updated_at,timestamptz,False,server/db/ddl/common/document/03_foundation_tables.sql,103,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_folder,updated_by,uuid,False,server/db/ddl/common/document/03_foundation_tables.sql,103,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_link,id,uuid NOT NULL DEFAULT shared.uuidv7(),True,server/db/ddl/common/document/03_foundation_tables.sql,131,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_link,tenant_id,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,131,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_link,entity_type,text NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,131,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_link,entity_id,text NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,131,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_link,attachment_series_id,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,131,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_link,pinned_attachment_id,uuid,False,server/db/ddl/common/document/03_foundation_tables.sql,131,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_link,link_kind,text NOT NULL DEFAULT 'related',True,server/db/ddl/common/document/03_foundation_tables.sql,131,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_link,display_order,integer NOT NULL DEFAULT 0,True,server/db/ddl/common/document/03_foundation_tables.sql,131,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_link,metadata,jsonb NOT NULL DEFAULT '{}'::jsonb,True,server/db/ddl/common/document/03_foundation_tables.sql,131,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Owning service / governed extension contract,Only allowed keys; do not hide missing domain models or readiness policy in arbitrary JSON.
document.attachment_link,folder_id,uuid,False,server/db/ddl/common/document/03_foundation_tables.sql,131,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_link,created_at,timestamptz NOT NULL DEFAULT now(),True,server/db/ddl/common/document/03_foundation_tables.sql,131,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_link,created_by,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,131,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_legal_hold,id,uuid NOT NULL DEFAULT shared.uuidv7(),True,server/db/ddl/common/document/03_foundation_tables.sql,383,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_legal_hold,tenant_id,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,383,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_legal_hold,attachment_series_id,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,383,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_legal_hold,hold_code,text,False,server/db/ddl/common/document/03_foundation_tables.sql,383,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_legal_hold,reason,text NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,383,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_legal_hold,external_reference,text,False,server/db/ddl/common/document/03_foundation_tables.sql,383,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_legal_hold,placed_at,timestamptz NOT NULL DEFAULT now(),True,server/db/ddl/common/document/03_foundation_tables.sql,383,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_legal_hold,placed_by,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,383,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_legal_hold,released_at,timestamptz,False,server/db/ddl/common/document/03_foundation_tables.sql,383,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_legal_hold,released_by,uuid,False,server/db/ddl/common/document/03_foundation_tables.sql,383,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_legal_hold,release_reason,text,False,server/db/ddl/common/document/03_foundation_tables.sql,383,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_legal_hold,created_at,timestamptz NOT NULL DEFAULT now(),True,server/db/ddl/common/document/03_foundation_tables.sql,383,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_legal_hold,created_by,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,383,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_legal_hold_event,id,uuid NOT NULL DEFAULT shared.uuidv7(),True,server/db/ddl/common/document/03_foundation_tables.sql,413,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_legal_hold_event,tenant_id,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,413,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_legal_hold_event,legal_hold_id,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,413,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_legal_hold_event,attachment_series_id,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,413,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_legal_hold_event,event_type,document.attachment_hold_event_type_d NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,413,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_legal_hold_event,reason,text NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,413,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_legal_hold_event,actor_id,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,413,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_legal_hold_event,occurred_at,timestamptz NOT NULL DEFAULT now(),True,server/db/ddl/common/document/03_foundation_tables.sql,413,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_legal_hold_event,correlation_id,uuid,False,server/db/ddl/common/document/03_foundation_tables.sql,413,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_legal_hold_event,metadata,jsonb NOT NULL DEFAULT '{}'::jsonb,True,server/db/ddl/common/document/03_foundation_tables.sql,413,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Owning service / governed extension contract,Only allowed keys; do not hide missing domain models or readiness policy in arbitrary JSON.
document.attachment_derivative,id,uuid NOT NULL DEFAULT shared.uuidv7(),True,server/db/ddl/common/document/03_foundation_tables.sql,431,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_derivative,tenant_id,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,431,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
document.attachment_derivative,attachment_id,uuid NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,431,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_derivative,derivative_type,text NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,431,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
document.attachment_derivative,rendition_code,text NOT NULL,True,server/db/ddl/common/document/03_foundation_tables.sql,431,"neon,mesh,studio",Source definition; verify deployment separately,Governed intake and evidence,Intake and every approval/change,Case service + authorized reviewer,Use pinned snapshots/evidence; attachments only when the applicable rule requires them.
